Day,Time,InternalTemp,ExternalTemp,Occupancy,Consumption
2,2,18.6823741,18.6823741,0,11.97321625
2,3,18.50273438,18.50273438,0,14.02412308
2,4,18.3602459,18.3602459,0,11.08778917
2,5,18.28554688,18.28554688,0,17.0387425
2,6,18.22443609,18.22443609,0,16.104187
2,7,18.38833333,18.38833333,0,18.00504725
2,8,19.17969925,19.17969925,1,25.07197433
2,9,20.39457364,20.39457364,1,29.26934567
2,10,20.92204724,20.92204724,1,25.56559283
2,11,21.24291667,21.24291667,1,38.167782
2,12,21.70609756,21.70609756,1,28.9644155
2,13,21.57007874,21.57007874,1,26.57842958
2,14,21.33134328,21.33134328,1,38.83902975
2,15,21.24314516,21.24314516,1,28.79049883
2,16,21.07204724,21.07204724,1,26.879859
2,17,20.93846154,20.93846154,1,23.9058505
2,18,20.7996124,20.7996124,1,31.335855
2,19,20.58396947,20.58396947,1,23.777832
2,20,20.4390625,20.4390625,1,23.29082617
2,21,20.36363636,20.36363636,0,24.2355975
2,22,20.21984733,20.21984733,0,20.91609283
2,23,20.0980315,20.0980315,0,24.52427242
2,24,20.01451613,20.01451613,0,15.45072658
2,1,19.91190476,19.91190476,0,17.521473
3,2,19.85568182,19.85568182,0,11.97321625
3,3,19.75542636,19.75542636,0,14.02412308
3,4,19.638,19.638,0,11.08778917
3,5,19.59067164,19.59067164,0,17.0387425
3,6,19.51875,19.51875,0,16.104187
3,7,19.56550388,19.56550388,0,18.00504725
3,8,20.10431655,20.10431655,1,25.07197433
3,9,20.78217054,20.78217054,1,29.26934567
3,10,21.21190476,21.21190476,1,25.56559283
3,11,21.48731343,21.48731343,1,38.167782
3,12,21.69153226,21.69153226,1,28.9644155
3,13,21.81666667,21.81666667,1,26.57842958
3,14,21.66370968,21.66370968,1,38.83902975
3,15,21.46976744,21.46976744,1,28.79049883
3,16,21.55149254,21.55149254,1,26.879859
3,17,21.30271318,21.30271318,1,23.9058505
3,18,20.93410853,20.93410853,1,31.335855
3,19,20.51119403,20.51119403,1,23.777832
3,20,20.2,20.2,1,23.29082617
3,21,19.91917293,19.91917293,0,24.2355975
3,22,19.63134328,19.63134328,0,20.91609283
3,23,19.34758065,19.34758065,0,24.52427242
3,24,19.1119403,19.1119403,0,15.45072658
3,1,18.95271318,18.95271318,0,17.521473
4,2,18.94375,18.94375,0,11.97321625
4,3,18.98467153,18.98467153,0,14.02412308
4,4,18.89831933,18.89831933,0,11.08778917
4,5,18.7744,18.7744,0,17.0387425
4,6,18.74959677,18.74959677,0,16.104187
4,7,18.83790323,18.83790323,0,18.00504725
4,8,19.65731707,19.65731707,1,25.07197433
4,9,20.73024194,20.73024194,1,29.26934567
4,10,21.77581967,21.77581967,1,25.56559283
4,11,22.25,22.25,1,38.167782
4,12,22.1011194,22.1011194,1,28.9644155
4,13,22.0471223,22.0471223,1,26.57842958
4,14,21.82569444,21.82569444,1,38.83902975
4,15,21.6176259,21.6176259,1,28.79049883
4,16,21.33171642,21.33171642,1,26.879859
4,17,20.91902985,20.91902985,1,23.9058505
4,18,20.71774194,20.71774194,1,31.335855
4,19,20.40310078,20.40310078,1,23.777832
4,20,20.2872,20.2872,1,23.29082617
4,21,19.85846774,19.85846774,0,24.2355975
4,22,19.57781955,19.57781955,0,20.91609283
4,23,19.44023438,19.44023438,0,24.52427242
4,24,19.24453125,19.24453125,0,15.45072658
4,1,18.98412698,18.98412698,0,17.521473
5,2,18.88292683,18.88292683,0,11.97321625
5,3,18.7734375,18.7734375,0,14.02412308
5,4,18.72286822,18.72286822,0,11.08778917
5,5,18.71854839,18.71854839,0,17.0387425
5,6,18.67868217,18.67868217,0,16.104187
5,7,18.66612903,18.66612903,0,18.00504725
5,8,19.57170543,19.57170543,1,25.07197433
5,9,20.5557554,20.5557554,1,29.26934567
5,10,20.83145161,20.83145161,1,25.56559283
5,11,20.9093985,20.9093985,1,38.167782
5,12,21.25082645,21.25082645,1,28.9644155
5,13,21.10195313,21.10195313,1,26.57842958
5,14,21.11213235,21.11213235,1,38.83902975
5,15,21.24166667,21.24166667,1,28.79049883
5,16,21.14154412,21.14154412,1,26.879859
5,17,21.12007576,21.12007576,1,23.9058505
5,18,21.22272727,21.22272727,1,31.335855
5,19,20.66835938,20.66835938,1,23.777832
5,20,20.09128788,20.09128788,1,23.29082617
5,21,19.66701389,19.66701389,0,24.2355975
5,22,19.36701389,19.36701389,0,20.91609283
5,23,19.10104167,19.10104167,0,24.52427242
5,24,18.86909722,18.86909722,0,15.45072658
5,1,18.6929078,18.6929078,0,17.521473
6,2,18.5988189,18.5988189,0,11.97321625
6,3,18.41884615,18.41884615,0,14.02412308
6,4,18.25,18.25,0,11.08778917
6,5,18.16804511,18.16804511,0,17.0387425
6,6,18.00071942,18.00071942,0,16.104187
6,7,17.93964286,17.93964286,0,18.00504725
6,8,18.56386861,18.56386861,1,25.07197433
6,9,19.02256944,19.02256944,1,29.26934567
6,10,19.33371212,19.33371212,1,25.56559283
6,11,19.43710938,19.43710938,1,38.167782
6,12,19.45117188,19.45117188,1,28.9644155
6,13,19.60294118,19.60294118,1,26.57842958
6,14,19.52773438,19.52773438,1,38.83902975
6,15,19.41054688,19.41054688,1,28.79049883
6,16,19.40681818,19.40681818,1,26.879859
6,17,19.42045455,19.42045455,1,23.9058505
6,18,19.39340278,19.39340278,1,31.335855
6,19,19.36215278,19.36215278,1,23.777832
6,20,19.25,19.25,1,23.29082617
6,21,19.20839161,19.20839161,0,24.2355975
6,22,19.07109375,19.07109375,0,20.91609283
6,23,19.08901515,19.08901515,0,24.52427242
6,24,19.00664063,19.00664063,0,15.45072658
6,1,19.03257576,19.03257576,0,17.521473
7,2,18.98188976,18.98188976,0,11.97321625
7,3,18.9125,18.9125,0,14.02412308
7,4,18.828125,18.828125,0,11.08778917
7,5,18.81550388,18.81550388,0,17.0387425
7,6,18.81287879,18.81287879,0,16.104187
7,7,18.74126984,18.74126984,0,18.00504725
7,8,18.98913043,18.98913043,1,25.07197433
7,9,19.07833333,19.07833333,1,29.26934567
7,10,19.12698413,19.12698413,1,25.56559283
7,11,19.33194444,19.33194444,1,38.167782
7,12,19.24534884,19.24534884,1,28.9644155
7,13,19.36408451,19.36408451,1,26.57842958
7,14,19.61616541,19.61616541,1,38.83902975
7,15,19.80851064,19.80851064,1,28.79049883
7,16,19.87952756,19.87952756,1,26.879859
7,17,19.84612676,19.84612676,1,23.9058505
7,18,19.93674242,19.93674242,1,31.335855
7,19,19.66967213,19.66967213,1,23.777832
7,20,19.18006993,19.18006993,1,23.29082617
7,21,18.8737931,18.8737931,0,24.2355975
7,22,18.57587413,18.57587413,0,20.91609283
7,23,18.3458042,18.3458042,0,24.52427242
7,24,19.49227941,19.49227941,0,15.45072658
